	t	x	y
	485	9.94977e+06	435.111
	486	9.94874e+06	444.708
	487	9.94768e+06	454.513
	488	9.94659e+06	464.53
	489	9.94548e+06	474.763
	490	9.94433e+06	485.218
	491	9.94316e+06	495.898
	492	9.94195e+06	506.809
	493	9.94072e+06	517.954
	494	9.93946e+06	529.34
	495	9.93816e+06	540.971
	496	9.93683e+06	552.852
	497	9.93548e+06	564.987
	498	9.93409e+06	577.383
	499	9.93266e+06	590.045
	500	9.93121e+06	602.977
	501	9.92972e+06	616.186
	502	9.92819e+06	629.677
	503	9.92663e+06	643.456
	504	9.92504e+06	657.528
	505	9.92341e+06	671.9
	506	9.92174e+06	686.577
	507	9.92003e+06	701.566
	508	9.91829e+06	716.873
	509	9.91651e+06	732.504
	510	9.91469e+06	748.465
	511	9.91282e+06	764.763
	512	9.91092e+06	781.405
	513	9.90897e+06	798.398
	514	9.90698e+06	815.748
	515	9.90495e+06	833.462
	516	9.90287e+06	851.547
	517	9.90075e+06	870.011
	518	9.89858e+06	888.861
	519	9.89636e+06	908.105
	520	9.8941e+06	927.749
	521	9.89179e+06	947.801
	522	9.88942e+06	968.27
	523	9.88701e+06	989.164
	524	9.88454e+06	1010.49
	525	9.88202e+06	1032.25
	526	9.87945e+06	1054.47
	527	9.87682e+06	1077.14
	528	9.87414e+06	1100.28
	529	9.87139e+06	1123.89
	530	9.86859e+06	1147.98
	531	9.86573e+06	1172.57
	532	9.86281e+06	1197.65
	533	9.85983e+06	1223.25
	534	9.85678e+06	1249.36
	535	9.85367e+06	1276
	536	9.8505e+06	1303.18
	537	9.84725e+06	1330.91
	538	9.84394e+06	1359.19
	539	9.84056e+06	1388.04
	540	9.83711e+06	1417.46
	541	9.83775e+06	1013.5
	542	9.83814e+06	1035.23
	543	9.83829e+06	1057.4
	544	9.83822e+06	1080.04
	545	9.83793e+06	1103.15
	546	9.83743e+06	1126.73
	547	9.83673e+06	1150.8
	548	9.83584e+06	1175.36
	549	9.83476e+06	1200.43
	550	9.83351e+06	1226
	551	9.83209e+06	1252.1
	552	9.83049e+06	1278.73
	553	9.82874e+06	1305.9
	554	9.82683e+06	1333.62
	555	9.82477e+06	1361.9
	556	9.82256e+06	1390.75
	557	9.82021e+06	1420.17
	558	9.81771e+06	1450.18
	559	9.81508e+06	1480.8
	560	9.81231e+06	1512.02
	561	9.80941e+06	1543.85
	562	9.80637e+06	1576.32
	563	9.80321e+06	1609.43
	564	9.79992e+06	1643.18
	565	9.7965e+06	1677.6
	566	9.79296e+06	1712.68
	567	9.7893e+06	1748.45
	568	9.78551e+06	1784.91
	569	9.7816e+06	1822.08
	570	9.77757e+06	1859.95
	571	9.77341e+06	1898.56
	572	9.76914e+06	1937.9
	573	9.76474e+06	1977.99
	574	9.76022e+06	2018.83
	575	9.75558e+06	2060.45
	576	9.75082e+06	2102.85
	577	9.74594e+06	2146.04
	578	9.74093e+06	2190.04
	579	9.7358e+06	2234.85
	580	9.73055e+06	2280.49
	581	9.72517e+06	2326.96
	582	9.71966e+06	2374.29
	583	9.71403e+06	2422.48
	584	9.70827e+06	2471.54
	585	9.70238e+06	2521.48
	586	9.69636e+06	2572.32
	587	9.69021e+06	2624.07
	588	9.68393e+06	2676.73
	589	9.67751e+06	2730.32
	590	9.67095e+06	2784.86
	591	9.66426e+06	2840.34
	592	9.65743e+06	2896.79
	593	9.65046e+06	2954.21
	594	9.64334e+06	3012.61
	595	9.63608e+06	3072.01
	596	9.62868e+06	3132.41
	597	9.62113e+06	3193.82
	598	9.61343e+06	3256.26
	599	9.60558e+06	3319.74
	600	9.59758e+06	3384.26
	601	9.58942e+06	3449.83
	602	9.5811e+06	3516.47
	603	9.57263e+06	3584.17
	604	9.56399e+06	3652.96
	605	9.55519e+06	3722.84
	606	9.54623e+06	3793.81
	607	9.5371e+06	3865.89
	608	9.52781e+06	3939.08
	609	9.51834e+06	4013.39
	610	9.5087e+06	4088.83
	611	9.49888e+06	4165.4
	612	9.48889e+06	4243.11
	613	9.47871e+06	4321.96
	614	9.46836e+06	4401.97
	615	9.45783e+06	4483.12
	616	9.4471e+06	4565.44
	617	9.43619e+06	4648.91
	618	9.4251e+06	4733.56
	619	9.41381e+06	4819.37
	620	9.40232e+06	4906.35
	621	9.39064e+06	4994.5
	622	9.37877e+06	5083.83
	623	9.36669e+06	5174.32
	624	9.35441e+06	5266
	625	9.34193e+06	5358.84
	626	9.32924e+06	5452.85
	627	9.31635e+06	5548.03
	628	9.30325e+06	5644.38
	629	9.28993e+06	5741.89
	630	9.27641e+06	5840.55
	631	9.27982e+06	4162.87
	632	9.28231e+06	4238.54
	633	9.28393e+06	4315.4
	634	9.2847e+06	4393.45
	635	9.28467e+06	4472.71
	636	9.28386e+06	4553.16
	637	9.28231e+06	4634.82
	638	9.28004e+06	4717.69
	639	9.27709e+06	4801.76
	640	9.27348e+06	4887.04
	641	9.26923e+06	4973.52
	642	9.26438e+06	5061.21
	643	9.25893e+06	5150.12
	644	9.25291e+06	5240.22
	645	9.24635e+06	5331.53
	646	9.23925e+06	5424.04
	647	9.23164e+06	5517.75
	648	9.22352e+06	5612.66
	649	9.21493e+06	5708.75
	650	9.20586e+06	5806.03
	651	9.19634e+06	5904.49
	652	9.18637e+06	6004.12
	653	9.17596e+06	6104.92
	654	9.16514e+06	6206.87
	655	9.1539e+06	6309.98
	656	9.14226e+06	6414.22
	657	9.13023e+06	6519.6
	658	9.11781e+06	6626.09
	659	9.10501e+06	6733.69
	660	9.09184e+06	6842.38
	661	9.07831e+06	6952.15
	662	9.06442e+06	7062.99
	663	9.05018e+06	7174.88
	664	9.0356e+06	7287.8
	665	9.02067e+06	7401.74
	666	9.00541e+06	7516.68
	667	8.98982e+06	7632.6
	668	8.97391e+06	7749.47
	669	8.95767e+06	7867.29
	670	8.94112e+06	7986.03
	671	8.92425e+06	8105.66
	672	8.90707e+06	8226.16
	673	8.88959e+06	8347.52
	674	8.8718e+06	8469.69
	675	8.85372e+06	8592.66
	676	8.83534e+06	8716.4
	677	8.81666e+06	8840.88
	678	8.7977e+06	8966.08
	679	8.77845e+06	9091.96
	680	8.75891e+06	9218.49
	681	8.73909e+06	9345.64
	682	8.71899e+06	9473.38
	683	8.69862e+06	9601.68
	684	8.67797e+06	9730.5
