	t	x	y
	299	9.98625e+06	39.5718
	300	9.98675e+06	40.4579
	301	9.98724e+06	37.2276
	302	9.9877e+06	38.0614
	303	9.98812e+06	38.9138
	304	9.98851e+06	39.7854
	305	9.98886e+06	40.6764
	306	9.98918e+06	41.5875
	307	9.98947e+06	42.5189
	308	9.98973e+06	43.4713
	309	9.98997e+06	44.4449
	310	9.99018e+06	45.4404
	311	9.99037e+06	46.4581
	312	9.99054e+06	47.4986
	313	9.99068e+06	48.5624
	314	9.99081e+06	49.6501
	315	9.99091e+06	50.762
	316	9.991e+06	51.8988
	317	9.99107e+06	53.0611
	318	9.99113e+06	54.2494
	319	9.99117e+06	55.4642
	320	9.9912e+06	56.7062
	321	9.99121e+06	57.976
	322	9.99121e+06	59.2741
	323	9.9912e+06	60.6013
	324	9.99117e+06	61.9582
	325	9.99113e+06	63.3453
	326	9.99109e+06	64.7635
	327	9.99103e+06	66.2133
	328	9.99096e+06	67.6955
	329	9.99088e+06	69.2109
	330	9.99079e+06	70.76
	331	9.99076e+06	65.1097
	332	9.99072e+06	66.5672
	333	9.99067e+06	68.0573
	334	9.9906e+06	69.5807
	335	9.99053e+06	71.1381
	336	9.99044e+06	72.7303
	337	9.99035e+06	74.358
	338	9.99024e+06	76.022
	339	9.99013e+06	77.7232
	340	9.99e+06	79.4623
	341	9.98987e+06	81.2403
	342	9.98973e+06	83.0579
	343	9.98958e+06	84.9161
	344	9.98942e+06	86.8157
	345	9.98925e+06	88.7576
	346	9.98908e+06	90.7429
	347	9.98889e+06	92.7724
	348	9.9887e+06	94.8471
	349	9.9885e+06	96.9681
	350	9.98829e+06	99.1363
	351	9.98808e+06	101.353
	352	9.98785e+06	103.619
	353	9.98762e+06	105.935
	354	9.98739e+06	108.303
	355	9.98714e+06	110.723
	356	9.98688e+06	113.198
	357	9.98662e+06	115.727
	358	9.98635e+06	118.313
	359	9.98607e+06	120.957
	360	9.98579e+06	123.659
	361	9.98561e+06	113.78
	362	9.98543e+06	116.322
	363	9.98523e+06	118.92
	364	9.98502e+06	121.577
	365	9.98479e+06	124.293
	366	9.98456e+06	127.069
	367	9.98431e+06	129.906
	368	9.98405e+06	132.807
	369	9.98378e+06	135.772
	370	9.98349e+06	138.803
	371	9.9832e+06	141.902
	372	9.98289e+06	145.069
	373	9.98258e+06	148.306
	374	9.98225e+06	151.616
	375	9.98191e+06	154.998
	376	9.98156e+06	158.456
	377	9.98119e+06	161.99
	378	9.98082e+06	165.603
	379	9.98044e+06	169.296
	380	9.98004e+06	173.07
	381	9.97963e+06	176.928
	382	9.97921e+06	180.872
	383	9.97878e+06	184.903
	384	9.97834e+06	189.023
	385	9.97788e+06	193.234
	386	9.97742e+06	197.538
	387	9.97694e+06	201.937
	388	9.97645e+06	206.433
	389	9.97595e+06	211.029
	390	9.97543e+06	215.726
	391	9.97511e+06	198.477
	392	9.97477e+06	202.896
	393	9.97441e+06	207.413
	394	9.97403e+06	212.03
	395	9.97363e+06	216.748
	396	9.9732e+06	221.571
	397	9.97276e+06	226.5
	398	9.9723e+06	231.537
	399	9.97181e+06	236.686
	400	9.97131e+06	241.948
	401	9.97079e+06	247.326
	402	9.97025e+06	252.823
	403	9.96969e+06	258.44
	404	9.96911e+06	264.181
	405	9.96852e+06	270.049
	406	9.9679e+06	276.045
	407	9.96726e+06	282.173
	408	9.96661e+06	288.435
	409	9.96593e+06	294.835
	410	9.96524e+06	301.375
	411	9.96453e+06	308.058
	412	9.96379e+06	314.888
	413	9.96304e+06	321.867
	414	9.96227e+06	328.999
	415	9.96148e+06	336.287
	416	9.96066e+06	343.735
	417	9.95983e+06	351.345
	418	9.95897e+06	359.121
	419	9.9581e+06	367.066
	420	9.9572e+06	375.185
	421	9.95664e+06	345.141
	422	9.95605e+06	352.779
	423	9.95543e+06	360.583
	424	9.95476e+06	368.558
	425	9.95406e+06	376.707
	426	9.95333e+06	385.033
	427	9.95256e+06	393.541
	428	9.95176e+06	402.234
	429	9.95092e+06	411.116
	430	9.95005e+06	420.191
	431	9.94915e+06	429.463
	432	9.94821e+06	438.936
	433	9.94724e+06	448.614
	434	9.94624e+06	458.502
	435	9.9452e+06	468.604
	436	9.94414e+06	478.925
	437	9.94304e+06	489.469
	438	9.9419e+06	500.24
