	t	x	y
	292	9.44485e+06	6.54243
	293	9.47874e+06	6.68129
	294	9.51066e+06	6.82359
	295	9.54072e+06	6.96939
	296	9.56901e+06	7.11878
	297	9.59562e+06	7.27181
	298	9.62065e+06	7.42855
	299	9.64419e+06	7.58908
	300	9.6663e+06	7.75347
	301	9.68709e+06	7.9218
	302	9.70661e+06	8.09414
	303	9.72494e+06	8.27058
	304	9.74215e+06	8.4512
	305	9.7583e+06	8.63608
	306	9.77346e+06	8.82531
	307	9.78768e+06	9.01898
	308	9.80102e+06	9.21718
	309	9.81353e+06	9.42
	310	9.82526e+06	9.62755
	311	9.83625e+06	9.83992
	312	9.84656e+06	10.0572
	313	9.85622e+06	10.2795
	314	9.86527e+06	10.507
	315	9.87375e+06	10.7396
	316	9.8817e+06	10.9777
	317	9.88914e+06	11.2212
	318	9.89611e+06	11.4703
	319	9.90263e+06	11.725
	320	9.90874e+06	11.9856
	321	9.91447e+06	12.2522
	322	9.91982e+06	12.5249
	323	9.92483e+06	12.8037
	324	9.92952e+06	13.0889
	325	9.93391e+06	13.3806
	326	9.93802e+06	13.6789
	327	9.94186e+06	13.984
	328	9.94546e+06	14.296
	329	9.94882e+06	14.6151
	330	9.95196e+06	14.9414
	331	9.9549e+06	15.2751
	332	9.95765e+06	15.6163
	333	9.96022e+06	15.9652
	334	9.96262e+06	16.3221
	335	9.96486e+06	16.687
	336	9.96696e+06	17.0601
	337	9.96892e+06	17.4416
	338	9.97075e+06	17.8318
	339	9.97245e+06	18.2307
	340	9.97405e+06	18.6386
	341	9.97554e+06	19.0558
	342	9.97693e+06	19.4823
	343	9.97822e+06	19.9184
	344	9.97943e+06	20.3643
	345	9.98055e+06	20.8203
	346	9.9816e+06	21.2865
	347	9.98258e+06	21.7632
	348	9.98349e+06	22.2506
	349	9.98433e+06	22.7489
	350	9.98512e+06	23.2585
	351	9.98585e+06	23.7795
	352	9.98653e+06	24.3122
	353	9.98716e+06	24.8568
	354	9.98775e+06	25.4137
	355	9.98829e+06	25.9831
	356	9.98879e+06	26.5653
	357	9.98925e+06	27.1605
	358	9.98968e+06	27.7691
	359	9.99007e+06	28.3913
	360	9.99043e+06	29.0275
	361	9.99098e+06	7.4196
	362	9.99149e+06	7.58598
	363	9.99196e+06	7.75609
	364	9.99241e+06	7.93002
	365	9.99282e+06	8.10787
	366	9.9932e+06	8.2897
	367	9.99356e+06	8.47563
	368	9.99389e+06	8.66572
	369	9.9942e+06	8.86009
	370	9.99449e+06	9.05882
	371	9.99475e+06	9.26201
	372	9.995e+06	9.46976
	373	9.99523e+06	9.68218
	374	9.99544e+06	9.89937
	375	9.99564e+06	10.1214
	376	9.99582e+06	10.3485
	377	9.99599e+06	10.5806
	378	9.99615e+06	10.818
	379	9.99629e+06	11.0606
	380	9.99642e+06	11.3088
	381	9.99654e+06	11.5625
	382	9.99665e+06	11.8218
	383	9.99675e+06	12.087
	384	9.99684e+06	12.3582
	385	9.99693e+06	12.6354
	386	9.997e+06	12.9189
	387	9.99707e+06	13.2087
	388	9.99713e+06	13.505
	389	9.99718e+06	13.808
	390	9.99723e+06	14.1177
	391	9.99727e+06	14.4344
	392	9.9973e+06	14.7582
	393	9.99733e+06	15.0893
	394	9.99736e+06	15.4278
	395	9.99738e+06	15.7739
	396	9.99739e+06	16.1277
	397	9.9974e+06	16.4895
	398	9.99741e+06	16.8594
	399	9.99741e+06	17.2376
